"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"10259";"Font-Awesome/src/";2;29829;4
"10273";"Font-Awesome/src/assets/js/";4;11473;4
"10283";"Font-Awesome/src/3.2.1/";3;18356;4
"10444";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"10495";"Font-Awesome/";1;86044;4
"10503";"Font-Awesome/docs/assets/js/";4;50479;4
"10508";"Font-Awesome/docs/";2;50479;4
"10522";"Font-Awesome/build/";2;5736;4
"10536";"Font-Awesome/build/assets/js/";4;4589;4
"10555";"Font-Awesome/build/assets/";3;4589;4
"10577";"Font-Awesome/src/";2;29829;4
"10591";"Font-Awesome/src/assets/js/";4;11473;4
"10601";"Font-Awesome/src/3.2.1/";3;18356;4
"10762";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"10813";"Font-Awesome/";1;86044;4
"10821";"Font-Awesome/docs/assets/js/";4;50479;4
"10826";"Font-Awesome/docs/";2;50479;4
"10840";"Font-Awesome/build/";2;5736;4
"10854";"Font-Awesome/build/assets/js/";4;4589;4
"10873";"Font-Awesome/build/assets/";3;4589;4
"10895";"Font-Awesome/src/";2;29829;4
"10909";"Font-Awesome/src/assets/js/";4;11473;4
"10919";"Font-Awesome/src/3.2.1/";3;18356;4
"11080";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"11131";"Font-Awesome/";1;86044;4
"11139";"Font-Awesome/docs/assets/js/";4;50479;4
"11144";"Font-Awesome/docs/";2;50479;4
"11158";"Font-Awesome/build/";2;5736;4
"11172";"Font-Awesome/build/assets/js/";4;4589;4
"11191";"Font-Awesome/build/assets/";3;4589;4
"11213";"Font-Awesome/src/";2;29829;4
"11227";"Font-Awesome/src/assets/js/";4;11473;4
"11237";"Font-Awesome/src/3.2.1/";3;18356;4
"11398";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"11449";"Font-Awesome/";1;86044;4
"11457";"Font-Awesome/docs/assets/js/";4;50479;4
"11462";"Font-Awesome/docs/";2;50479;4
"11476";"Font-Awesome/build/";2;5736;4
"11490";"Font-Awesome/build/assets/js/";4;4589;4
"11509";"Font-Awesome/build/assets/";3;4589;4
"11531";"Font-Awesome/src/";2;29829;4
"11545";"Font-Awesome/src/assets/js/";4;11473;4
"11555";"Font-Awesome/src/3.2.1/";3;18356;4
"11716";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"11767";"Font-Awesome/";1;86044;4
"11775";"Font-Awesome/docs/assets/js/";4;50479;4
"11780";"Font-Awesome/docs/";2;50479;4
"11794";"Font-Awesome/build/";2;5736;4
"11808";"Font-Awesome/build/assets/js/";4;4589;4
"11827";"Font-Awesome/build/assets/";3;4589;4
"11849";"Font-Awesome/src/";2;29829;4
"11863";"Font-Awesome/src/assets/js/";4;11473;4
"11873";"Font-Awesome/src/3.2.1/";3;18356;4
"12034";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"12085";"Font-Awesome/";1;86044;4
"12093";"Font-Awesome/docs/assets/js/";4;50479;4
"12098";"Font-Awesome/docs/";2;50479;4
"12112";"Font-Awesome/build/";2;5736;4
"12126";"Font-Awesome/build/assets/js/";4;4589;4
"12145";"Font-Awesome/build/assets/";3;4589;4
"12167";"Font-Awesome/src/";2;29829;4
"12181";"Font-Awesome/src/assets/js/";4;11473;4
"12191";"Font-Awesome/src/3.2.1/";3;18356;4
"12352";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"12403";"Font-Awesome/";1;86044;4
"12411";"Font-Awesome/docs/assets/js/";4;50479;4
"12416";"Font-Awesome/docs/";2;50479;4
"12430";"Font-Awesome/build/";2;5736;4
"12444";"Font-Awesome/build/assets/js/";4;4589;4
